,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,,,
,No. of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Open,Price,Close,Price,Current,Status,Result,Profit,Selected,Profit Trades,Change,Shares,,Completed trade,Total profit,Profit %,Profit % per month,Winning %
MRNA,12,265.07,33.33,1.82,2023/8/21,,2023/9/5,,21/08,111.08,05/09,109.36,94.89,Completed,Loss,(15.48),TRUE,FALSE,-1.72,9.00,,,,,,
PANW,8,765.02,87.50,17.97,2023/8/21,,2023/9/15,,21/08,240.81,15/09,245.82,298.21,Completed,Profit,20.04,,TRUE,5.01,4.00,,,,,,
NOC,4,8.11,25.00,1.20,2023/8/22,,2023/8/25,,22/08,433.69,25/08,432.18,463.13,Completed,Loss,(3.02),,FALSE,-1.51,2.00,,,,,,
BKNG,16,8.22,12.50,1.07,,2023/8/22,,2023/8/30,22/08,3052,30/08,3110.86,3535.7,Completed,Loss,0.00,,FALSE,58.86,0.00,,,,,,
CDNS,11,95.00,45.46,1.57,2023/8/23,,2023/9/8,,23/08,225.51,08/09,241.46,275.82,Completed,Profit,63.80,,TRUE,15.95,4.00,,,,,,
ANET,16,393.20,50.00,2.53,,2023/8/24,,2023/8/29,24/08,189.83,29/08,181.96,238.26,Completed,Profit,39.35,,TRUE,-7.87,5.00,,,,,,
PM,11,126.36,36.36,2.11,2023/8/25,,2023/9/5,,25/08,94.08,05/09,94.51,92.94,Completed,Profit,4.30,TRUE,TRUE,0.43,10.00,,,,,,
CAH,13,191.58,30.77,2.18,2023/8/28,,2023/8/31,,28/08,89.74,31/08,88.04,101.33,Completed,Loss,(18.70),TRUE,FALSE,-1.7,11.00,,,,,,
CHD,7,78.96,42.86,2.66,2023/8/28,,2023/9/6,,28/08,94.44,06/09,95.17,91.9,Completed,Profit,7.30,,TRUE,0.73,10.00,,,,,,
MO,10,111.25,50.00,2.12,2023/8/28,,2023/9/6,,28/08,43.97,06/09,44.09,40.36,Completed,Profit,2.64,,TRUE,0.12,22.00,,,,,,
NKE,9,2.05,33.33,1.02,2023/8/29,,2023/9/5,,29/08,99.63,05/09,100.32,108.04,Completed,Profit,6.90,,TRUE,0.69,10.00,,,,,,
PEP,9,142.49,55.56,3.61,2023/8/29,,2023/8/31,,29/08,180.25,31/08,181.08,167.68,Completed,Profit,4.15,,TRUE,0.83,5.00,,,,,,
RCL,8,246.85,25.00,2.63,2023/8/29,,2023/8/30,,29/08,98.32,30/08,100.53,128.21,Completed,Profit,22.10,,TRUE,2.21,10.00,,,,,,
BEN,8,103.29,50.00,1.47,2023/8/30,,2023/9/5,,30/08,26.52,05/09,26.13,29.7,Completed,Loss,(14.43),,FALSE,-0.39,37.00,,,,,,
FIS,9,2.80,22.22,1.02,2023/8/30,,2023/9/5,,30/08,55.72,05/09,55.64,59.94,Completed,Loss,(1.36),,FALSE,-0.08,17.00,,,,,,
BBY,11,229.87,54.55,2.30,2023/8/31,,2023/9/5,,31/08,75.93,05/09,73.95,76.14,Completed,Loss,(25.74),TRUE,FALSE,-1.98,13.00,,,,,,
LVS,7,157.17,57.14,1.90,2023/8/31,,2023/9/5,,31/08,54.91,05/09,52.61,48.92,Completed,Loss,(41.40),,FALSE,-2.3,18.00,,,,,,
MOH,8,246.79,50.00,3.11,,2023/9/1,,2023/9/7,01/09,310.12,07/09,310.82,358.38,Completed,Loss,(2.10),TRUE,FALSE,0.7,3.00,,,,,,
SPG,13,115.86,38.46,1.44,2023/9/1,,2023/9/18,,01/09,113.49,18/09,114.25,142.3,Completed,Profit,6.08,TRUE,TRUE,0.76,8.00,,,,,,
BG,4,77.25,25.00,2.05,,2023/9/6,,2023/9/11,06/09,113.09,11/09,114.87,101.64,Completed,Loss,(14.24),,FALSE,1.78,8.00,,,,,,
ICE,10,345.79,50.00,3.90,,2023/9/6,,2023/9/12,06/09,114.64,12/09,115.03,125.72,Completed,Loss,(3.12),TRUE,FALSE,0.39,8.00,,,,,,
TDY,12,179.49,50.00,2.65,,2023/9/8,,2023/9/14,08/09,410.01,14/09,409.35,433.45,Completed,Profit,1.32,,TRUE,-0.66,2.00,,,,,,
ACN,9,39.09,33.33,1.16,,2023/9/12,,2023/9/25,12/09,325.87,25/09,316.99,354.45,Completed,Profit,26.64,,TRUE,-8.88,3.00,,,,,,
ADBE,11,75.55,36.36,1.31,,2023/9/12,,2023/10/2,12/09,564.5,02/10,521.13,598.75,Completed,Profit,43.37,,TRUE,-43.37,1.00,,,,,,
ABNB,8,375.94,62.50,4.49,2023/9/12,,2023/9/20,,12/09,147.33,20/09,141.85,140.8,Completed,Loss,(32.88),,FALSE,-5.48,6.00,,,,,,
UNP,10,150.38,30.00,2.20,2023/9/14,,2023/9/19,,14/09,212.13,19/09,213.15,243.58,Completed,Profit,4.08,,TRUE,1.02,4.00,,,,,,
SBAC,11,48.77,45.46,1.27,2023/9/14,,2023/9/17,,14/09,212.33,17/09,215.1,251.43,Completed,Profit,11.08,,TRUE,2.77,4.00,,,,,,
INTC,10,178.26,40.00,1.98,,2023/9/15,,2023/9/29,15/09,38.67,29/09,35.18,48,Completed,Profit,87.25,,TRUE,-3.49,25.00,,,,,,
OXY,7,621.30,42.86,5.55,,2023/9/19,,2023/9/27,19/09,66.32,27/09,63.15,60.81,Completed,Profit,47.55,,TRUE,-3.17,15.00,,,,,,
NRG,12,108.61,50.00,2.92,,2023/9/20,,2023/9/25,20/09,39.19,25/09,39.19,50,Completed,Loss,0.00,,FALSE,0,25.00,,,,,,
SLB,12,356.90,41.67,2.50,,2023/9/20,,2023/9/26,20/09,60.43,26/09,59.84,53.08,Completed,Profit,9.44,,TRUE,-0.59,16.00,,,,,,
CRWD,12,60.17,25.00,1.15,,2023/9/21,,2023/9/28,21/09,163.89,28/09,163.04,255.63,Completed,Profit,5.10,,TRUE,-0.85,6.00,,,,,,
HAL,15,181.91,26.67,1.81,,2023/9/21,,2023/9/27,21/09,41.29,27/09,40.79,36.59,Completed,Profit,12.00,,TRUE,-0.5,24.00,,,,,,
PRU,9,33.68,55.56,1.34,,2023/9/22,,2023/10/9,22/09,96.97,09/10,93.41,103.54,Completed,Profit,35.60,,TRUE,-3.56,10.00,,,,,,
AAPL,12,7.26,50.00,1.05,2023/9/25,,2023/9/26,,25/09,176.08,26/09,176.08,193.6,Completed,Loss,0.00,,FALSE,0,5.00,,,,,,
WRB,13,85.60,23.08,1.47,,2023/9/27,,2023/10/4,27/09,64.43,04/10,62.44,70.21,Completed,Profit,29.85,,TRUE,-1.99,15.00,,,,,,
MAR,11,162.25,27.27,1.66,2023/9/28,,2023/10/2,,28/09,193.88,02/10,193.75,222.62,Completed,Loss,(0.65),,FALSE,-0.13,5.00,,,,,,
VRSN,12,387.62,41.67,3.39,2023/9/28,,2023/10/3,,28/09,200.47,03/10,202.34,206.39,Completed,Profit,7.48,,TRUE,1.87,4.00,,,,,,
ABBV,10,311.94,60.00,5.41,,2023/9/29,,2023/10/11,29/09,152.25,11/10,148.89,154.94,Completed,Profit,20.16,,TRUE,-3.36,6.00,,,,,,
MOH,11,213.94,36.36,2.43,,2023/9/29,,2023/10/5,29/09,333.32,05/10,328,358.38,Completed,Profit,15.96,,TRUE,-5.32,3.00,,,,,,
PAYX,14,28.44,35.71,1.15,2023/9/29,,2023/10/20,,29/09,117.12,20/10,118.19,119.86,Completed,Profit,8.56,,TRUE,1.07,8.00,,,,,,
TRMB,12,250.63,25.00,2.26,2023/9/29,,2023/10/4,,29/09,52.41,04/10,51.75,52.44,Completed,Loss,(12.54),,FALSE,-0.66,19.00,,,,,,
CVX,9,408.84,44.44,4.47,,2023/10/3,,2023/10/9,03/10,166.54,09/10,166.72,151.05,Completed,Loss,(1.08),,FALSE,0.18,6.00,,,,,,
PEG,10,114.54,40.00,2.62,2023/10/4,,2023/10/20,,04/10,55.53,20/10,59.83,60.65,Completed,Profit,77.40,,TRUE,4.3,18.00,,,,,,
CRM,13,139.17,38.46,1.48,2023/10/9,,2023/10/13,,09/10,207.22,13/10,205.68,266.34,Completed,Loss,(6.16),,FALSE,-1.54,4.00,,,,,,
LHX,10,196.00,50.00,6.53,2023/10/9,,2023/10/20,,09/10,180.21,20/10,177.9,208.49,Completed,Loss,(11.55),,FALSE,-2.31,5.00,,,,,,
MO,12,101.13,41.67,1.92,2023/10/9,,2023/10/19,,09/10,42.7,19/10,43.12,40.36,Completed,Profit,9.66,,TRUE,0.42,23.00,,,,,,
MRK,9,169.54,44.44,3.18,2023/10/9,,2023/10/18,,09/10,104.5,18/10,104.17,107.7,Completed,Loss,(2.97),,FALSE,-0.33,9.00,,,,,,
CAG,13,132.82,53.85,1.97,2023/10/10,,2023/11/27,,10/10,27.59,27/11,28.19,28.66,Completed,Profit,21.60,,TRUE,0.6,36.00,,,,,,
CCI,9,61.58,44.44,1.38,2023/10/10,,2023/10/18,,10/10,93.18,18/10,93.4,114.83,Completed,Profit,2.20,,TRUE,0.22,10.00,,,,,,
CMCSA,9,187.86,55.56,3.62,2023/10/10,,2023/10/19,,10/10,44.09,19/10,44.02,44,Completed,Loss,(1.54),,FALSE,-0.07,22.00,,,,,,
DLR,13,35.26,46.15,1.18,2023/10/10,,2023/10/18,,10/10,119.05,18/10,123.29,135.12,Completed,Profit,33.92,,TRUE,4.24,8.00,,,,,,
ES,12,138.07,41.67,2.61,2023/10/10,,2023/10/12,,10/10,57.24,12/10,58.97,61.08,Completed,Profit,29.41,,TRUE,1.73,17.00,,,,,,
LMT,11,61.46,18.18,1.65,2023/10/10,,2023/11/6,,10/10,436.53,06/11,451.16,448.22,Completed,Profit,29.26,,TRUE,14.63,2.00,,,,,,
